"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","1e-05","-1.2765 ***","9.8738 ***","1868.4234 ***","7.3304","15.1390","147.1479 ***","87.4206 ***"
"Heating.oil.1","5e-05","0.1743","4.4060 ***","72.9156 ***","10.2319","16.1958","155.1508 ***","80.4270 ***"
"Heating.oil.2","2e-05","0.1535","4.4234 ***","73.6770 ***","10.7966","17.8654","164.1408 ***","85.8360 ***"
"Heating.oil.3","-2e-05","0.1246","4.3354 ***","64.1273 ***","9.7557","16.8565","163.2828 ***","85.8887 ***"
"Heating.oil.4","-2e-05","0.0785","4.3952 ***","68.5048 ***","8.5599","15.3539","148.7101 ***","81.3307 ***"
"SP500","1e-05","-1.3074 ***","10.1080 ***","1993.3121 ***","7.3649","14.9175","157.5106 ***","92.0351 ***"
"Natural.gas.1","8e-05","0.3611 ***","4.2500 ***","72.4178 ***","7.0438","16.9453","95.6105 ***","54.7359 ***"
"Natural.gas.2","0.00011","0.3799 ***","4.3136 ***","80.0239 ***","2.7405","6.8805","98.4401 ***","56.2489 ***"
"Natural.gas.3","6e-05","0.3946 ***","5.1388 ***","180.6079 ***","2.1206","4.8074","64.5948 ***","41.6087 ***"
"Natural.gas.4","5e-05","0.1478","5.2781 ***","183.3798 ***","2.6071","4.9085","44.5361 ***","28.6638 ***"
