"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","1e-05","-1.2808 ***","9.8626 ***","1864.5848 ***","7.5489","15.6858","168.4346 ***","97.5954 ***"
"Wheat.1","9e-05","0.2642 ***","3.8258 ***","33.3988 ***","4.3373","8.6633","71.8876 ***","52.7239 ***"
"Wheat.2","1e-04","0.2573 ***","3.7604 ***","29.2950 ***","3.2417","6.3034","80.1132 ***","52.5802 ***"
"Wheat.3","9e-05","0.1423","4.3546 ***","66.5803 ***","3.5886","9.2040","101.9995 ***","68.5199 ***"
"Wheat.4","8e-05","-0.0916","6.3504 ***","391.2424 ***","4.6600","10.1802","34.8530 ***","26.1941 ***"
"SP500","1e-05","-1.2683 ***","9.9082 ***","1881.9718 ***","7.6808","15.7341","166.2936 ***","96.6147 ***"
"KC.Wheat.1","8e-05","0.1798","3.6548 ***","19.3928 ***","4.8707","9.5699","53.7974 ***","40.1301 ***"
"KC.Wheat.2","7e-05","0.1948","3.6345 ***","19.2656 ***","3.0182","6.8550","57.6217 ***","39.6106 ***"
"KC.Wheat.3","8e-05","0.1181","4.0218 ***","38.2223 ***","3.3533","7.5883","78.9838 ***","51.9558 ***"
"KC.Wheat.4","7e-05","-0.0717","5.6338 ***","241.7698 ***","4.5563","9.4422","29.2836 ***","22.8349"
"SP500","1e-05","-1.2790 ***","9.8542 ***","1859.9436 ***","7.3955","15.3910","165.9985 ***","96.0291 ***"
"Corn.1","4e-05","-0.0962","6.5031 ***","427.7239 ***","7.8237","16.8318","52.2026 ***","34.5629 ***"
"Corn.2","4e-05","-0.0204","5.9017 ***","292.6541 ***","6.4206","12.1919","78.6252 ***","50.7189 ***"
"Corn.3","4e-05","-0.0067","5.9686 ***","306.2441 ***","5.8926","11.7997","81.8179 ***","49.3738 ***"
"Corn.4","3e-05","0.0452","6.1956 ***","355.1557 ***","7.3136","15.2593","111.6836 ***","67.1138 ***"
"SP500","1e-05","-1.2736 ***","9.7512 ***","1809.3100 ***","7.3643","14.7107","173.8214 ***","99.3676 ***"
"Soybean.1","3e-05","-0.6950 ***","6.3544 ***","458.1312 ***","3.8801","11.4852","127.5423 ***","87.8444 ***"
"Soybean.2","2e-05","-0.4934 ***","5.4957 ***","250.2748 ***","4.7077","12.2630","74.7528 ***","52.3026 ***"
"Soybean.3","2e-05","-0.5363 ***","6.5483 ***","477.4834 ***","4.8783","10.5328","41.0920 ***","29.3093 ***"
"Soybean.4","2e-05","-0.3212 ***","4.1916 ***","63.6808 ***","5.8240","11.7050","130.3592 ***","64.1564 ***"
"SP500","1e-05","-1.2505 ***","9.5966 ***","1729.5208 ***","7.7550","16.4584","171.7217 ***","98.6627 ***"
"Soybean.meal.1","0.00000","-0.5759 ***","6.7011 ***","522.0980 ***","2.2479","6.1262","129.4278 ***","77.7994 ***"
"Soybean.meal.2","0.00000","-0.3696 ***","4.7794 ***","129.0246 ***","2.2834","4.6906","83.0907 ***","62.0892 ***"
"Soybean.meal.3","0.00000","-0.2695 ***","4.6382 ***","103.3550 ***","2.9610","5.9867","47.2316 ***","37.0493 ***"
"Soybean.meal.4","1e-05","-0.3101 ***","5.0172 ***","154.7650 ***","2.2322","4.3304","26.9463 ***","21.1373"
"SP500","1e-05","-1.2921 ***","10.0412 ***","1954.9105 ***","7.6170","15.7816","155.7895 ***","90.9895 ***"
"Soybean.oil.1","5e-05","-0.0108","3.9980 ***","34.6301 ***","10.0006","22.1316","284.5652 ***","110.1594 ***"
"Soybean.oil.2","5e-05","0.0164","3.8979 ***","28.0524 ***","8.7476","20.5865","286.1365 ***","112.4103 ***"
"Soybean.oil.3","4e-05","0.0506","3.8777 ***","27.1271 ***","8.7450","20.3966","303.5523 ***","119.3695 ***"
"Soybean.oil.4","4e-05","0.0396","3.9945 ***","34.5891 ***","8.6587","19.9757","307.4379 ***","121.3745 ***"
"SP500","1e-05","-1.2952 ***","10.0493 ***","1959.9931 ***","7.3110","15.2292","155.7346 ***","91.3685 ***"
"Oats.1","5e-05","-0.0813","5.9694 ***","307.3161 ***","8.3055","12.3810","7.8491","7.6313"
"Oats.2","4e-05","0.1247","6.3703 ***","396.8888 ***","6.4382","13.4605","25.1934 ***","22.0129"
"Oats.3","4e-05","0.0811","6.2865 ***","376.2536 ***","4.9107","11.3763","29.5534 ***","24.3297 ***"
"SP500","1e-05","-1.3142 ***","10.1013 ***","1791.7791 ***","7.5470","16.4358","151.3976 ***","87.5856 ***"
"MPLS.Wheat.1","8e-05","-0.3459 ***","6.8684 ***","482.5912 ***","7.7693","13.3112","245.8098 ***","103.6498 ***"
"MPLS.Wheat.2","8e-05","-0.1599","5.9001 ***","266.0292 ***","5.2366","9.0045","225.9904 ***","117.4616 ***"
"MPLS.Wheat.3","7e-05","0.2427 ***","5.7899 ***","250.5984 ***","6.3669","13.0773","161.7664 ***","102.4774 ***"
"MPLS.Wheat.4","7e-05","0.2484 ***","5.4916 ***","201.7131 ***","5.6691","13.7446","176.8686 ***","96.2199 ***"
"SP500","1e-05","-1.2881 ***","9.9959 ***","1931.4187 ***","7.3611","15.4355","161.6998 ***","94.1908 ***"
"Rough.rice.1","4e-05","-0.6640 ***","7.4564 ***","751.4051 ***","9.2434","16.9634","14.7261","12.4751"
"Rough.rice.2","4e-05","-0.2344 ***","4.0226 ***","43.9736 ***","7.0942","14.9450","74.1406 ***","43.0806 ***"
"Rough.rice.3","4e-05","-0.2026","4.0535 ***","44.2713 ***","10.3411","17.9963","99.4218 ***","61.5097 ***"
