"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","1e-05","-1.2864 ***","10.0149 ***","1940.0020 ***","7.0981","15.0866","154.2319 ***","90.5251 ***"
"Live.cattle.1","-6e-05","-0.4510 ***","4.3293 ***","89.6794 ***","24.2583 ***","29.0139 ***","20.7168","15.5067"
"Live.cattle.2","-5e-05","-0.1179","4.0510 ***","40.3194 ***","7.7594","13.0532","26.2985 ***","21.1232"
"Live.cattle.3","-3e-05","-0.2716 ***","4.2433 ***","63.9712 ***","7.4544","15.2717","28.8688 ***","27.1017 ***"
"Live.cattle.4","3e-05","-0.4186 ***","4.4652 ***","98.9614 ***","12.1904","23.7438 ***","22.2944","18.8537"
"SP500","1e-05","-1.2667 ***","9.7485 ***","1805.6248 ***","7.6711","15.2751","151.1858 ***","89.0951 ***"
"Feeder.cattle.1","1e-05","-0.2081","4.5401 ***","88.4449 ***","4.0619","8.0963","67.2144 ***","54.8008 ***"
"Feeder.cattle.2","4e-05","-0.2835 ***","4.6605 ***","106.9913 ***","10.7709","16.4311","51.5900 ***","41.9830 ***"
"Feeder.cattle.3","4e-05","-0.3441 ***","4.6154 ***","107.1338 ***","8.7967","14.1607","65.4378 ***","51.8311 ***"
"Feeder.cattle.4","4e-05","-0.4071 ***","4.2974 ***","81.5274 ***","14.1311 ***","21.5204","90.1802 ***","61.4489 ***"
