"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","1e-05","-1.2879 ***","10.0503 ***","1957.8686 ***","7.6214","15.2597","163.7370 ***","94.9018 ***"
"Gold.1","2e-05","-0.1009","7.0763 ***","578.8385 ***","6.8612","11.3226","92.8957 ***","56.5206 ***"
"Gold.2","2e-05","-0.2390 ***","6.2828 ***","382.4318 ***","7.1755","14.0654","124.1490 ***","76.6691 ***"
"Gold.3","2e-05","-0.2638 ***","6.3410 ***","397.5521 ***","7.1243","13.9588","131.2122 ***","79.9456 ***"
"Gold.4","2e-05","-0.0646","7.1477 ***","598.3881 ***","6.6621","12.4371","99.3749 ***","61.1213 ***"
"SP500","1e-05","-1.3197 ***","10.1348 ***","2011.0728 ***","6.3643","12.6472","152.7906 ***","90.9382 ***"
"Copper.1","3e-05","-0.3269 ***","5.3706 ***","210.1441 ***","6.8999","12.8911","238.6997 ***","116.3865 ***"
"Copper.2","3e-05","-0.4242 ***","5.6568 ***","270.3039 ***","5.0075","11.6463","189.3498 ***","100.7456 ***"
"Copper.3","3e-05","-0.4388 ***","5.6642 ***","273.4080 ***","4.6400","10.7075","174.7507 ***","95.5383 ***"
"Copper.4","3e-05","-0.3462 ***","5.4118 ***","218.7951 ***","5.7650","11.3112","205.8959 ***","105.0220 ***"
