"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","1e-05","-1.2960 ***","10.0120 ***","1942.0959 ***","7.1616","14.6342","158.4431 ***","92.4084 ***"
"Coffee.1","0.00012","0.1411","3.4753","10.6174 ***","7.0966","18.2777","25.9907 ***","21.7945"
"Coffee.2","0.00011","0.1391","3.4631","10.1443 ***","6.7490","18.8311","33.9998 ***","28.0065 ***"
"Coffee.3","0.00011","0.1486","3.4496","10.0921 ***","6.6411","18.4883","39.0242 ***","30.9119 ***"
"Coffee.4","1e-04","0.1351","3.4215","8.7088","6.0960","17.3531","42.0082 ***","32.5354 ***"
"SP500","1e-05","-1.2717 ***","9.7737 ***","1819.2171 ***","7.7261","15.9392","168.0646 ***","95.6579 ***"
"Sugar.1","3e-05","-0.0892","4.5873 ***","88.6596 ***","2.8023","6.6946","83.3459 ***","52.3268 ***"
"Sugar.3","3e-05","-0.5731 ***","6.8966 ***","573.2755 ***","2.6879","5.8214","78.5732 ***","48.9304 ***"
"Sugar.4","2e-05","-0.5297 ***","7.5937 ***","772.3059 ***","1.3160","3.3327","49.2126 ***","31.4920 ***"
"SP500","1e-05","-1.2727 ***","9.9856 ***","1920.9094 ***","7.3196","15.9767","165.4917 ***","95.5851 ***"
"Cocoa.1","1e-05","0.1942","4.7705 ***","114.1707 ***","13.6121","22.2476","19.7815","18.1666"
"Cocoa.2","1e-05","0.1453","4.4430 ***","75.2946 ***","10.8455","18.3837","22.1474","19.7933"
"Cocoa.3","1e-05","0.1495","4.4322 ***","74.3840 ***","10.1110","17.1637","22.2578","19.4867"
"Cocoa.4","1e-05","0.1352","4.4928 ***","79.9754 ***","10.2076","17.2145","22.5492","19.0920"
"SP500","1e-05","-1.2840 ***","9.9418 ***","1903.7215 ***","7.5232","15.5163","162.6216 ***","94.4669 ***"
"Cotton.1","2e-05","-0.5878 ***","7.4186 ***","726.4918 ***","7.2274","11.6460","103.6504 ***","67.7712 ***"
"Cotton.2","1e-05","-0.2083","4.6907 ***","105.3578 ***","8.4544","15.0863","255.3690 ***","115.2427 ***"
"Cotton.3","3e-05","-0.3716 ***","5.4421 ***","226.4334 ***","8.6036","15.0971","271.4696 ***","108.6069 ***"
"Cotton.4","1e-05","-0.3990 ***","6.1993 ***","377.8216 ***","13.1701","19.3442","434.6136 ***","167.8226 ***"
"SP500","1e-05","-1.2851 ***","9.9978 ***","1931.2429 ***","7.3421","15.1221","161.4549 ***","93.9893 ***"
"Orange.juice.2","5e-05","0.2073","4.1322 ***","50.5173 ***","11.0481","20.6604","37.6364 ***","29.5296 ***"
"Orange.juice.3","1e-05","0.1510","4.0160 ***","39.0356 ***","12.9791","24.3380 ***","50.3039 ***","42.0614 ***"
"Orange.juice.4","4e-05","0.1833","4.1726 ***","52.4522 ***","9.3872","17.9891","52.4369 ***","42.5375 ***"
"Orange.juice.5","4e-05","0.1995","4.2783 ***","62.3112 ***","9.1758","17.3214","46.0829 ***","37.8306 ***"
"SP500","1e-05","-1.2460 ***","9.8677 ***","1854.8168 ***","8.3090","16.8638","165.6896 ***","96.5445 ***"
"Lumber.1","6e-05","0.3450 ***","5.0646 ***","164.6741 ***","11.1461","17.8654","43.0870 ***","38.1645 ***"
"Lumber.2","4e-05","0.3435 ***","3.9422 ***","47.2549 ***","9.4062","17.2722","31.5004 ***","26.5268 ***"
