"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","-2e-05","-0.3930 ***","5.6504 ***","182.4671 ***","11.9150","20.7883","155.7788 ***","76.1521 ***"
"Heating.oil.1","-1e-04","-0.1103","4.0613 ***","28.0541 ***","5.1245","12.9924","62.2107 ***","36.3485 ***"
"Heating.oil.2","-9e-05","-0.2590","3.8296 ***","22.8405 ***","4.8805","11.1074","25.2741 ***","18.6723"
"Heating.oil.3","-8e-05","-0.2876 ***","3.9495 ***","29.4231 ***","5.8574","12.2943","24.7647 ***","19.7046"
"Heating.oil.4","-7e-05","-0.3557 ***","4.2716 ***","50.6854 ***","7.4525","13.9283","23.8454 ***","19.3499"
"SP500","-2e-05","-0.3850 ***","6.1187 ***","246.3710 ***","15.0815 ***","25.3711 ***","152.7914 ***","78.0749 ***"
"Natural.gas.1","1e-05","0.0806","6.9414 ***","371.5033 ***","9.8218","20.3620","32.1379 ***","24.7485 ***"
"Natural.gas.2","-4e-05","-0.3923 ***","5.1460 ***","124.6423 ***","11.6462","21.6612","29.1045 ***","26.4879 ***"
"Natural.gas.3","-5e-05","-0.6453 ***","6.5283 ***","336.9809 ***","10.8221","18.2322","19.7874","16.0260"
"Natural.gas.4","-5e-05","-0.2860 ***","4.3312 ***","50.1155 ***","11.9946","16.3420","49.2497 ***","37.2723 ***"
