"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","-2e-05","-0.3698 ***","5.7749 ***","196.8918 ***","15.8010 ***","26.9226 ***","142.1411 ***","73.5436 ***"
"Wheat.1","4e-05","-0.2424","6.7400 ***","339.5646 ***","5.0205","10.8353","21.8510","21.3757"
"Wheat.2","2e-05","0.3926 ***","4.4349 ***","63.8703 ***","2.3515","4.7935","14.6781","14.0900"
"Wheat.3","0.00000","0.2045","4.4891 ***","56.9364 ***","2.6197","5.6625","19.0088","18.7792"
"Wheat.4","0.00000","-0.0603","5.4747 ***","146.5590 ***","4.6851","10.5538","20.5921","18.5897"
"SP500","-2e-05","-0.3965 ***","6.0448 ***","236.3486 ***","14.3860 ***","24.8081 ***","152.7546 ***","74.5134 ***"
"KC.Wheat.1","1e-05","-0.3904 ***","6.7159 ***","344.2248 ***","8.4916","16.4164","33.6723 ***","28.0286 ***"
"KC.Wheat.2","1e-05","0.2148","4.8855 ***","89.2841 ***","4.2359","8.6103","36.5211 ***","29.0792 ***"
"KC.Wheat.3","-1e-05","0.1308","5.0336 ***","100.3718 ***","5.5904","11.2673","40.4630 ***","29.1170 ***"
"KC.Wheat.4","-1e-05","0.0144","5.1695 ***","112.3956 ***","5.4900","12.5329","49.9600 ***","29.6705 ***"
"SP500","-2e-05","-0.3763 ***","5.9486 ***","221.1025 ***","14.0905 ***","24.2950 ***","157.8808 ***","75.1413 ***"
"Corn.1","3e-05","-1.3259 ***","16.7974 ***","4712.9535 ***","5.7577","12.7758","24.4248 ***","21.6922"
"Corn.2","3e-05","-0.5111 ***","8.5622 ***","763.6094 ***","1.9144","4.3342","96.3737 ***","92.5373 ***"
"Corn.3","4e-05","0.1574","5.1566 ***","113.4045 ***","2.8860","6.5450","32.3255 ***","23.7142 ***"
"Corn.4","3e-05","0.1856","5.3035 ***","129.9788 ***","2.5681","5.3940","8.3849","7.4468"
"SP500","-2e-05","-0.3598 ***","5.9113 ***","214.7187 ***","13.8915","23.8225 ***","156.9977 ***","75.2345 ***"
"Soybean.1","5e-05","-0.5446 ***","7.7794 ***","573.6982 ***","20.8998 ***","38.8078 ***","93.7230 ***","64.4722 ***"
"Soybean.2","4e-05","-0.0563","4.4323 ***","49.2809 ***","5.7271","10.0094","41.2045 ***","32.2853 ***"
"Soybean.3","4e-05","-0.2208","5.5942 ***","165.3277 ***","2.4965","3.9982","36.0872 ***","35.7081 ***"
"Soybean.4","4e-05","-0.0952","4.9683 ***","93.3647 ***","1.6399","3.7815","25.1382 ***","24.7829 ***"
"SP500","-2e-05","-0.3739 ***","5.9637 ***","223.0541 ***","14.0717 ***","24.2084 ***","150.7500 ***","73.9357 ***"
"Soybean.meal.1","1e-05","-0.3776 ***","7.5200 ***","501.3959 ***","18.9487 ***","34.1029 ***","54.6486 ***","39.1207 ***"
"Soybean.meal.2","1e-05","0.1482","4.8076 ***","80.1094 ***","12.0068","23.3096 ***","37.6345 ***","25.3420 ***"
"Soybean.meal.3","1e-05","0.2963 ***","4.8228 ***","87.7105 ***","5.2836","10.4175","21.0685","18.7660"
"Soybean.meal.4","1e-05","0.2873 ***","5.0044 ***","103.8034 ***","3.7975","6.8188","16.0206","14.6123"
"SP500","-2e-05","-0.3849 ***","5.9054 ***","215.6821 ***","14.8165 ***","25.1973 ***","152.7661 ***","73.5306 ***"
"Soybean.oil.1","8e-05","0.2191","4.0435 ***","30.5809 ***","3.1058","6.7024","25.1630 ***","20.9564"
"Soybean.oil.2","7e-05","0.2177","4.0884 ***","32.8079 ***","3.0512","7.6440","19.6823","16.6152"
"Soybean.oil.3","7e-05","0.2067","4.1571 ***","36.0440 ***","3.3201","8.4040","22.3961","19.0608"
"Soybean.oil.4","7e-05","0.2312","4.7171 ***","75.5019 ***","3.4958","9.1246","30.1512 ***","25.5749 ***"
"SP500","-2e-05","-0.1951","5.1401 ***","112.9801 ***","14.6960 ***","24.7978 ***","179.4989 ***","76.2211 ***"
"Oats.1","3e-05","-0.5904 ***","5.6117 ***","196.1486 ***","17.3601 ***","30.4910 ***","45.1645 ***","25.2322 ***"
"Oats.2","3e-05","-0.2400","5.0315 ***","104.0330 ***","5.3169","12.6841","24.4707 ***","20.2642"
"Oats.3","2e-05","-0.5452 ***","5.4485 ***","171.5165 ***","3.4845","7.6541","15.1828","15.5304"
"SP500","0.00000","-0.3756 ***","5.1371 ***","99.2103 ***","11.7951","20.6654","97.1270 ***","51.4757 ***"
"MPLS.Wheat.1","-3e-05","0.0680","5.6217 ***","133.2407 ***","1.6376","3.5989","42.2681 ***","28.1992 ***"
"MPLS.Wheat.2","-2e-05","0.4862 ***","5.3605 ***","126.0104 ***","4.3245","7.9893","36.4156 ***","22.7436"
"MPLS.Wheat.3","-1e-05","0.4461 ***","6.1027 ***","201.5047 ***","4.6830","8.8455","50.0062 ***","31.0169 ***"
"MPLS.Wheat.4","-1e-05","0.3324 ***","5.8508 ***","165.6640 ***","10.1536","19.4759","54.0979 ***","31.5425 ***"
"SP500","4e-05","-0.4002 ***","5.5248 ***","140.8851 ***","12.3246","20.8110","106.3419 ***","57.0529 ***"
"Rough.rice.1","-3e-05","0.6154 ***","11.9374 ***","1634.6056 ***","8.7570","15.6978","17.3795","17.1288"
"Rough.rice.2","0.00000","0.4547 ***","5.0737 ***","102.9723 ***","6.0992","14.7284","15.7236","13.4312"
"Rough.rice.3","0.00000","0.4068 ***","5.0003 ***","93.6556 ***","8.2095","19.0605","8.6345","7.3247"
