"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","-2e-05","-0.3849 ***","6.0349 ***","234.0460 ***","13.9972 ***","24.4219 ***","154.5465 ***","76.8204 ***"
"Live.cattle.1","5e-05","-0.5425 ***","7.2110 ***","451.4647 ***","5.9953","12.1854","20.5335","52.1667 ***"
"Live.cattle.2","4e-05","-1.2182 ***","11.6130 ***","1912.8905 ***","0.9734","2.6128","2.7585","10.4481"
"Live.cattle.3","0.00000","-1.0206 ***","11.1082 ***","1669.1012 ***","9.1103","14.1756","7.3103","18.6017"
"Live.cattle.4","1e-05","-0.8179 ***","8.2447 ***","720.6273 ***","14.6496 ***","21.6534","26.8834 ***","32.8720 ***"
"SP500","-2e-05","-0.3971 ***","6.0414 ***","235.9035 ***","13.9065 ***","23.8793 ***","156.3123 ***","75.9061 ***"
"Feeder.cattle.1","2e-05","-1.0755 ***","14.3029 ***","3160.6607 ***","13.0990","23.0936","15.1221","60.9771 ***"
"Feeder.cattle.2","1e-05","-0.5801 ***","9.7927 ***","1133.7552 ***","7.6204","12.2895","19.8310","39.9319 ***"
"Feeder.cattle.3","1e-05","-0.7301 ***","8.1954 ***","695.3535 ***","8.4029","15.0744","31.3419 ***","67.8672 ***"
"Feeder.cattle.4","2e-05","-0.7285 ***","9.7723 ***","1145.7068 ***","5.2369","9.4835","17.0806","46.3401 ***"
