"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","-2e-05","-0.4009 ***","6.0211 ***","233.2610 ***","12.7720","22.3748","154.2805 ***","75.7807 ***"
"Gold.1","0.00000","1.3549 ***","14.9962 ***","3611.1451 ***","9.5317","19.9195","12.8053","11.3074"
"Gold.2","0.00000","1.3725 ***","15.3543 ***","3823.8883 ***","9.2908","19.2535","11.9754","10.6074"
"Gold.3","0.00000","1.3267 ***","14.8643 ***","3528.8076 ***","9.2559","19.1416","12.8288","11.2268"
"Gold.4","0.00000","1.2682 ***","14.2015 ***","3149.2845 ***","9.3103","19.3653","14.3503","12.4140"
"SP500","-2e-05","-0.4022 ***","6.0473 ***","237.1485 ***","13.4480","23.4617 ***","149.3122 ***","73.9523 ***"
"Copper.1","-0.00015","-0.0427","3.4096","4.1793","9.2807","16.3913","7.6629","9.2025"
"Copper.2","-0.00015","-0.1355","3.7398 ***","14.8180 ***","7.7160","13.6984","18.5408","18.5003"
"Copper.3","-0.00015","-0.1540","3.8806 ***","20.7790 ***","6.7076","13.1514","14.8637","15.0445"
"Copper.4","-0.00015","-0.1395","3.9081 ***","21.5485 ***","5.8138","11.6461","15.3054","15.2585"
