"","Mean","Skewness","Kurtosis","Jarque-Bera","Weighted-box","Q(10)","Q^2(10)","ARCH-LM (10)"
"SP500","-2e-05","-0.3906 ***","6.0542 ***","237.2771 ***","13.9974 ***","24.0625 ***","154.8162 ***","75.3355 ***"
"Coffee.1","-1e-05","0.4763 ***","6.0968 ***","250.6207 ***","8.9849","22.6074","56.9305 ***","48.7523 ***"
"Coffee.2","0.00000","0.3899 ***","5.9019 ***","215.5784 ***","7.5794","17.1647","84.3613 ***","66.3167 ***"
"Coffee.3","1e-05","0.2475","5.8156 ***","195.1151 ***","6.4129","17.6669","62.5317 ***","58.1935 ***"
"Coffee.4","2e-05","0.2281","6.0329 ***","224.5791 ***","6.4938","17.7290","59.0551 ***","53.1782 ***"
"SP500","-2e-05","-0.4063 ***","5.9343 ***","221.3239 ***","14.4072 ***","24.9567 ***","160.4111 ***","78.0235 ***"
"Sugar.1","1e-04","-0.0212","3.7556 ***","13.6756 ***","5.9766","10.0871","44.0007 ***","40.9859 ***"
"Sugar.3","6e-05","0.3297 ***","5.1672 ***","122.5131 ***","6.9339","12.7485","40.2675 ***","30.2332 ***"
"Sugar.4","6e-05","0.3124 ***","5.1638 ***","121.1049 ***","5.4467","12.2756","34.6690 ***","25.4938 ***"
"SP500","-2e-05","-0.4381 ***","5.8271 ***","209.1467 ***","14.1576 ***","24.3626 ***","142.9976 ***","70.3608 ***"
"Cocoa.1","3e-05","0.3250 ***","5.6509 ***","177.8637 ***","9.5870","16.9053","14.9683","13.3210"
"Cocoa.2","3e-05","0.4101 ***","6.3971 ***","291.5962 ***","9.0898","16.6020","18.0791","16.4076"
"Cocoa.3","3e-05","0.3985 ***","6.3943 ***","290.2276 ***","7.4848","14.9873","19.6629","17.7621"
"Cocoa.4","2e-05","0.3903 ***","6.5945 ***","323.0238 ***","7.1282","14.4407","18.2184","16.4184"
"SP500","-2e-05","-0.4067 ***","5.9997 ***","230.6244 ***","14.8935 ***","25.4554 ***","151.7410 ***","76.1066 ***"
"Cotton.1","6e-05","-0.5937 ***","11.0600 ***","1584.6548 ***","4.3670","9.6748","9.1651","8.9547"
"Cotton.2","5e-05","-0.3210 ***","6.9020 ***","373.3427 ***","1.9416","4.7360","40.9103 ***","42.7856 ***"
"Cotton.3","5e-05","-0.1415","6.0062 ***","217.6727 ***","2.4504","4.4430","28.6245 ***","20.8559"
"Cotton.4","4e-05","-0.1316","5.9867 ***","214.6277 ***","4.3128","10.2165","73.6973 ***","56.3168 ***"
"SP500","-2e-05","-0.3976 ***","5.9657 ***","225.0900 ***","14.0505 ***","24.2185 ***","154.7777 ***","75.7486 ***"
"Orange.juice.2","-6e-05","-0.0561","4.6608 ***","66.1558 ***","11.9548","15.1285","12.4385","11.7143"
"Orange.juice.3","-7e-05","-0.0632","5.0312 ***","98.8822 ***","10.1008","12.7701","14.6835","12.9964"
"Orange.juice.4","-6e-05","0.0420","5.3325 ***","130.0621 ***","9.1412","12.5187","12.5282","11.4609"
"Orange.juice.5","-5e-05","0.0721","5.5718 ***","158.4090 ***","8.3027","11.6168","10.4747","9.0588"
"SP500","-2e-05","-0.3923 ***","5.9774 ***","226.3547 ***","14.2486 ***","24.2694 ***","155.8948 ***","75.4863 ***"
"Lumber.1","7e-05","-0.1439","3.5889","10.2566 ***","10.6018","16.2810","60.4360 ***","48.7655 ***"
"Lumber.2","8e-05","7e-04","3.2199","1.1543","5.4698","8.4700","113.3684 ***","70.3956 ***"
