"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"Wheat 1"," 4.59533"," 4.27250","12.80000"," 2.24000"," 1.68113","1.0263 ***","3.8208 ***","1383.9408 ***","-2.5776","20.9632","66582.9351 ***","65761.1044 ***","6741.8380 ***","6797"
"Wheat 2"," 4.69251"," 4.41000","12.82500"," 2.37750"," 1.71071","1.0402 ***","3.7373 ***","1379.5758 ***","-2.5061","22.2106","66711.1413 ***","65962.9952 ***","6748.0008 ***","6797"
"Wheat 3"," 4.75713"," 4.50500","12.45000"," 2.48250"," 1.71010","0.9646 ***","3.3253 ***","1084.0807 ***","-2.4389","24.4579","66723.0409 ***","65949.1518 ***","6747.2354 ***","6797"
"Wheat 4"," 4.80578"," 4.51250","12.51500"," 2.57750"," 1.70991","0.9471 ***","3.2708 ***","1037.0053 ***","-2.3291","26.3459","66868.1608 ***","66199.2495 ***","6752.4590 ***","6797"
"KC Wheat 1"," 4.84775"," 4.40250","13.37000"," 2.48500"," 1.78814","1.1185 ***","3.7517 ***","1576.8693 ***","-2.4475","18.9744","66699.9207 ***","65980.9481 ***","6749.4501 ***","6795"
"KC Wheat 2"," 4.90404"," 4.46000","13.28250"," 2.63250"," 1.80948","1.1132 ***","3.6789 ***","1533.9401 ***","-2.4093","20.8458","66798.3010 ***","66119.2691 ***","6752.4831 ***","6795"
"KC Wheat 3"," 4.94791"," 4.54000","12.77750"," 2.73500"," 1.80666","1.0553 ***","3.3989 ***","1306.3398 ***","-2.3529","22.9151","66813.0695 ***","66153.4005 ***","6752.5804 ***","6795"
"KC Wheat 4"," 4.97744"," 4.56250","12.74500"," 2.83500"," 1.80134","1.0438 ***","3.3801 ***","1274.6747 ***","-2.2392","24.8178","66916.7089 ***","66335.4316 ***","6755.8160 ***","6795"
"Corn 1","3.47371","3.30750","8.31250","1.74750","1.44318","1.2729 ***","4.0313 ***","2135.2307 ***","-2.3664","21.7897","66932.4321 ***","66523.9987 ***","6756.9011 ***","6792"
"Corn 2","3.52475","3.38375","8.38750","1.82500","1.40568","1.2617 ***","4.0584 ***","2119.1907 ***","-2.2993","23.1928","66995.0440 ***","66643.5569 ***","6759.8867 ***","6792"
