"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"W.OI","0.32788","0.36903","0.57269","0.08120","0.13953","-0.3917 ***","1.7455 ***","128.3199 ***","-2.3212","6.7674","12937.0407 ***","12315.9864 ***","1367.7812 ***","1408"
"W.SI","-0.00036","-0.01349"," 0.37910","-0.28653"," 0.12347","0.6133 ***","3.0629","88.5053 ***","-5.1896 ***","3.7733","7720.5466 ***","6312.1473 ***","1195.1233 ***","1408"
"W.SIR","0.28584","0.27003","0.48791","0.07046","0.08796","0.1769 ***","2.2143 ***","43.5647 ***","-3.7675 ***","7.2339","10138.2807 ***","10224.8429 ***","1318.7226 ***","1408"
"W.SP"," 0.03065","-0.02860"," 0.81242","-0.53811"," 0.27375","0.9194 ***","3.2584","202.2636 ***","-5.0987 ***","3.7555","7329.2584 ***","7686.3297 ***","1231.0551 ***","1408"
"KW.OI","0.14782","0.14314","0.34129","0.04254","0.07254","0.6312 ***","2.6282 ***","101.5904 ***","-2.2209","6.3872","12796.4972 ***","12565.7908 ***","1377.5076 ***","1408"
"KW.SI"," 0.08826"," 0.08366"," 0.41325","-0.23267"," 0.12996","0.1660","2.3401 ***","32.0204 ***","-4.7291 ***","1.6313","9300.2583 ***","8563.5022 ***","1306.6552 ***","1408"
"KW.SIR","0.25460","0.28358","0.50259","0.00000","0.13254","-0.2254 ***","1.7106 ***","109.4571 ***","-2.4447","14.0169","12529.9599 ***","12272.1987 ***","1364.7581 ***","1408"
"KW.SP"," 0.27057"," 0.26773"," 1.00000","-1.00000"," 0.40565","-0.287 ***","2.4861 ***","34.8251 ***","-5.8556 ***","0.6819","7333.3395 ***","6974.8260 ***","1202.3836 ***","1408"
"C.OI","1.13089","1.23526","2.59461","0.28634","0.51052","0.0288","2.4648 ***","16.9973 ***","-2.4657","3.1319","13074.7436 ***","12707.0264 ***","1381.4799 ***","1408"
"C.SI"," 0.08880"," 0.09056"," 0.35229","-0.20686"," 0.11753","-0.0392","2.1177 ***","46.0311 ***","-6.1845 ***","0.7735","8101.5997 ***","8268.9454 ***","1306.4675 ***","1408"
"C.SIR","0.26022","0.27764","0.45105","0.03682","0.09351","-0.2573 ***","2.0817 ***","65.0092 ***","-3.9263 ***","11.0265","11372.5586 ***","11355.2141 ***","1353.1338 ***","1408"
"C.SP"," 0.26223"," 0.25634"," 0.95992","-0.68142"," 0.34668","-0.0918","2.2000 ***","39.5269 ***","-6.2696 ***","0.5845","7641.6724 ***","8456.5951 ***","1299.9952 ***","1408"
"S.OI","0.51477","0.57122","1.06478","0.12479","0.25115","-0.0766","1.7693 ***","90.2352 ***","-2.2032","3.7804","13035.9632 ***","12446.4752 ***","1373.1759 ***","1408"
"S.SI"," 0.10170"," 0.11559"," 0.35318","-0.30001"," 0.13843","-0.3639 ***","2.0942 ***","79.2114 ***","-5.4054 ***","0.6536","9114.9656 ***","7589.0934 ***","1263.4346 ***","1408"
"S.SIR","0.27682","0.28338","0.49918","0.04592","0.09625","-0.1841 ***","2.4268 ***","27.2295 ***","-4.6485 ***","5.5967","10209.7243 ***","10116.5147 ***","1320.5021 ***","1408"
"S.SP"," 0.26952"," 0.34584"," 0.85356","-0.70429"," 0.36796","-0.4591 ***","2.1314 ***","93.7297 ***","-5.3910 ***","0.4158","8924.3287 ***","7276.8943 ***","1257.1368 ***","1408"
"SM.OI","0.20700","0.16580","0.53838","0.06042","0.11775","1.0242 ***","2.9755","246.1838 ***","-0.3825","14.4811","13500.1688 ***","13398.6581 ***","1391.0533 ***","1408"
"SM.SI"," 0.10592"," 0.12228"," 0.39957","-0.24146"," 0.12023","-0.3755 ***","2.4658 ***","49.8334 ***","-5.9350 ***","1.9127","8112.9183 ***","6551.6772 ***","1235.8916 ***","1408"
"SM.SIR","0.24163","0.24383","0.47626","0.02830","0.10331","-0.1089","2.0686 ***","53.6807 ***","-4.2925 ***","9.9181","10016.1901 ***","9866.4516 ***","1316.9687 ***","1408"
"SM.SP"," 0.32682"," 0.39905"," 0.94951","-0.74986"," 0.38499","-0.6972 ***","2.6285 ***","122.1665 ***","-5.7204 ***","0.3797","7657.9329 ***","5770.8604 ***","1161.7943 ***","1408"
"BO.OI","0.24078","0.20807","0.60138","0.05977","0.13231","0.5448 ***","2.1761 ***","109.4684 ***","-0.5924","16.2682","13382.0015 ***","13035.8388 ***","1386.5569 ***","1408"
"BO.SI"," 0.07131"," 0.07285"," 0.39020","-0.22905"," 0.13152","0.0134","2.3173 ***","27.3882 ***","-5.8507 ***","0.2192 ***","7347.4862 ***","6097.1944 ***","1233.4478 ***","1408"
"BO.SIR","0.25374","0.25611","0.50203","0.02625","0.09984","-0.0863","2.3253 ***","28.4503 ***","-4.2791 ***","7.3201","9510.3095 ***","9201.5699 ***","1312.8280 ***","1408"
"BO.SP"," 0.21423"," 0.22667"," 0.93802","-0.82242"," 0.38919","-0.2054 ***","2.3121 ***","37.6689 ***","-5.7035 ***","0.3248 ***","7029.4576 ***","5920.0041 ***","1179.2671 ***","1408"
"O.OI","0.02092","0.01236","0.10881","0.00381","0.02222","1.986 ***","5.9840 ***","1447.9404 ***","-2.0191","9.0622","13200.3875 ***","12474.0143 ***","1379.3011 ***","1408"
