"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"TV Wheat 1"," 28646.97373"," 20036.13333","161914.40000","    30.60000"," 25676.16572","1.0261 ***","3.6349 ***","270.7300 ***","-5.3040 ***","7.1065","2403.5528 ***","1740.1129 ***","707.9462 ***","1408"
"TV Wheat 2"," 28018.65869"," 20704.90000","137032.75000","   114.60000"," 23131.14699","1.0486 ***","3.7648 ***","292.3527 ***","-5.4122 ***","4.2535","3284.5906 ***","2050.3298 ***","837.3080 ***","1408"
"TV Wheat 3"," 9421.14394"," 6050.12500","74259.00000","   29.40000","10188.78970","2.1637 ***","9.6410 ***","3686.0472 ***","-7.3807 ***","2.4968","3417.7487 ***","1684.1403 ***","803.2427 ***","1408"
"TV Wheat 4"," 3462.81018"," 1987.90000","23854.00000","    1.20000"," 3835.06441","1.7175 ***","6.3377 ***","1345.7658 ***","-7.8955 ***","4.8149","3198.5787 ***","1570.7657 ***","727.2218 ***","1408"
"TV KC Wheat 1"," 8931.82327"," 7141.00000","51097.20000","    0.00000"," 7860.41820","1.4877 ***","6.2117 ***","1124.5432 ***","-4.4462 ***","4.3705","2593.9334 ***","2256.0356 ***","832.9590 ***","1408"
"TV KC Wheat 2"," 9374.47552"," 6938.20000","57062.50000","    0.00000"," 8015.46471","1.4943 ***","5.4927 ***","888.5399 ***","-3.9849 ***","2.7924","4348.6151 ***","2879.0365 ***","858.3531 ***","1408"
"TV KC Wheat 3"," 3148.10907"," 1960.50000","24230.00000","    0.00000"," 3372.74151","1.9642 ***","7.8012 ***","2257.7813 ***","-6.3250 ***","2.3504","4848.9770 ***","2680.7288 ***","804.6745 ***","1408"
"TV KC Wheat 4","1223.20389"," 654.50000","9481.80000","   0.00000","1444.94785","1.9353 ***","7.3640 ***","1996.2434 ***","-6.6880 ***","3.7102","3826.1293 ***","2239.0331 ***","719.8690 ***","1408"
"TV Corn 1"," 82382.15165"," 63481.20000","327752.40000","   458.00000"," 65861.60816","0.8939 ***","3.1878","189.5607 ***","-5.8884 ***","5.0510","2505.2782 ***","1925.3680 ***","786.4921 ***","1408"
"TV Corn 2"," 75185.87799"," 55715.57500","300954.80000","  2396.75000"," 60487.01796","0.9741 ***","3.2857","227.4769 ***","-5.2454 ***","3.7277","2878.4878 ***","1817.1285 ***","746.6362 ***","1408"
"TV Corn 3"," 33055.25752"," 19251.90000","306141.25000","   545.20000"," 41899.98259","2.7023 ***","11.5247 ***","5977.0112 ***","-8.4066 ***","1.4005","2752.2532 ***","1576.4714 ***","804.1276 ***","1408"
"TV Corn 4"," 14447.66733","  7314.40000","183892.00000","    30.60000"," 19374.25250","3.0263 ***","16.4370 ***","12741.6371 ***","-9.3493 ***","1.2265","2744.7779 ***","1925.4860 ***","795.0958 ***","1408"
"TV Soybean 1"," 47902.54007"," 31402.10000","275977.00000","   210.80000"," 46589.51438","1.1668 ***","3.8988 ***","366.8710 ***","-9.2265 ***","2.3008","2109.6692 ***","1667.2643 ***","855.4889 ***","1408"
"TV Soybean 2"," 49371.85062"," 34209.75000","265330.20000","   970.75000"," 45657.33060","1.4917 ***","5.3265 ***","839.7081 ***","-6.2635 ***","1.9891","3590.6807 ***","2460.8814 ***","919.9709 ***","1408"
"TV Soybean 3"," 18284.99098","  9380.40000","227779.00000","    54.80000"," 26588.61509","3.5893 ***","19.6376 ***","19262.7871 ***","-8.8600 ***","1.2889","1641.1225 ***","1186.4002 ***","812.4251 ***","1408"
