"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"LC.OI","0.20517","0.20831","0.45153","0.05254","0.10785","0.2218 ***","1.5448 ***","135.7682 ***","-1.4137","15.7485","13493.8305 ***","13047.9062 ***","1389.5287 ***","1408"
"LC.SI"," 0.12189"," 0.12486"," 0.36573","-0.18894"," 0.11635","-0.1043","2.4582 ***","19.7756 ***","-5.4351 ***","3.1589","8991.7959 ***","9222.2838 ***","1323.0392 ***","1408"
"LC.SIR","0.32376","0.32583","0.56232","0.04900","0.11652","-0.1721 ***","2.2478 ***","40.1488 ***","-3.2152","11.9109","11813.2696 ***","11749.1929 ***","1364.1885 ***","1408"
"LC.SP"," 0.26567"," 0.31023"," 0.84963","-0.62599"," 0.26224","-0.6802 ***","3.1939","110.7844 ***","-6.4427 ***","0.9699","7290.4388 ***","6298.4388 ***","1211.5885 ***","1408"
"FC.OI","0.02829","0.02556","0.06561","0.00707","0.01356","0.5072 ***","2.1421 ***","103.5523 ***","-2.0206","14.5958","12785.8172 ***","12425.0760 ***","1376.9551 ***","1408"
"FC.SI"," 0.11225"," 0.11043"," 0.42467","-0.24383"," 0.13648","-0.0609","2.3105 ***","28.7581 ***","-6.2317 ***","0.4896","7294.9208 ***","6331.5517 ***","1256.3722 ***","1408"
"FC.SIR","0.35746","0.37620","0.63419","0.06916","0.12537","-0.301 ***","2.3395 ***","46.8563 ***","-4.1655 ***","8.6152","9900.1775 ***","9553.4776 ***","1328.0872 ***","1408"
"FC.SP"," 0.21885"," 0.22557"," 0.95614","-0.59248"," 0.27700","-0.1955 ***","2.5977 ***","18.4651 ***","-6.6574 ***","0.2910 ***","6477.4325 ***","6070.7157 ***","1188.1483 ***","1408"
"LN.OI","0.13562","0.13493","0.33395","0.00357","0.09416","0.1584","1.4332 ***","149.9007 ***","-0.8974","15.9890","13610.6468 ***","13130.3276 ***","1387.1511 ***","1408"
"LN.SI"," 0.07596"," 0.08269"," 0.72768","-0.30579"," 0.13354","-0.2172 ***","3.1567","12.5163 ***","-6.1229 ***","0.4240","7210.3214 ***","3503.3302 ***","930.7937 ***","1408"
"LN.SIR","0.32512","0.32417","0.77666","0.04670","0.10211","-0.0390","2.4191 ***","20.1550 ***","-4.5872 ***","5.6920","9097.9695 ***","8680.8438 ***","1234.5347 ***","1408"
"LN.SP"," 0.16593"," 0.18833"," 0.88136","-0.71063"," 0.27924","-0.402 ***","2.6746 ***","44.1299 ***","-6.1129 ***","0.1683 ***","6929.6934 ***","5118.9164 ***","1144.8161 ***","1408"
