"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"Coffee 1","1.23472","1.18600","3.04900","0.41500","0.47314","0.8574 ***","4.0028 ***","1113.5227 ***","-3.0422","7.6951","66009.4106 ***","65370.0887 ***","6717.9284 ***","6772"
"Coffee 2","1.24845","1.19700","3.14800","0.45150","0.46486","0.8899 ***","4.1578 ***","1272.1745 ***","-3.1125","8.8929","65969.7562 ***","65190.7724 ***","6715.4717 ***","6772"
"Coffee 3","1.26324","1.21650","3.08900","0.46700","0.45762","0.9164 ***","4.3027 ***","1426.7030 ***","-2.9794","10.2672","66121.8599 ***","65601.8110 ***","6724.9607 ***","6772"
"Coffee 4","1.27743","1.23525","3.11600","0.48150","0.45217","0.9375 ***","4.4234 ***","1563.6826 ***","-2.8985","11.4688","66228.0456 ***","65843.2881 ***","6729.6671 ***","6772"
"Sugar 1","0.13004","0.11780","0.35310","0.04500","0.05541","1.1432 ***","4.2361 ***","1904.7841 ***","-2.2497","20.1514","66582.7810 ***","65954.1804 ***","6721.8677 ***","6767"
"Sugar 3","0.12943","0.11920","0.29640","0.04560","0.05129","0.6982 ***","2.8756","554.2337 ***","-1.9552","25.4790","66902.0974 ***","66448.3400 ***","6731.7606 ***","6767"
"Sugar 4","0.12918","0.11910","0.27530","0.05030","0.05005","0.5813 ***","2.5909 ***","428.2438 ***","-1.7805","27.6549","67035.2313 ***","66691.8374 ***","6736.0537 ***","6767"
"Cocoa 1","1939.91715","1812.00000","3774.00000"," 674.00000"," 725.11376","0.2818 ***","1.9147 ***","421.9304 ***","-2.2800","38.7237","66625.7515 ***","66244.9270 ***","6736.0375 ***","6771"
"Cocoa 2","1951.80298","1806.00000","3733.00000"," 714.00000"," 716.54482","0.2897 ***","1.9179 ***","425.0700 ***","-2.1833","38.6158","66722.7376 ***","66403.7125 ***","6737.9048 ***","6771"
"Cocoa 3","1964.53729","1816.00000","3669.00000"," 736.00000"," 709.17304","0.2906 ***","1.9141 ***","427.9898 ***","-2.1571","38.5528","66758.0689 ***","66464.5792 ***","6738.8599 ***","6771"
"Cocoa 4","1975.48102","1822.00000","3618.00000"," 758.00000"," 700.63555","0.2913 ***","1.9136 ***","428.7542 ***","-2.1301","38.5083","66788.8186 ***","66522.1307 ***","6739.5699 ***","6771"
"Cotton 1","0.69152","0.66555","2.15150","0.28520","0.22136","2.4809 ***","13.7921 ***","39833.7899 ***","-2.9457","5.2651","66027.8582 ***","65559.8316 ***","6728.7494 ***","6776"
"Cotton 2","0.69475","0.67490","2.14140","0.30220","0.20181","2.3899 ***","14.0751 ***","41081.1092 ***","-2.8430","5.4573","66213.3871 ***","65616.8841 ***","6733.5407 ***","6776"
"Cotton 3","0.69632","0.68330","2.03970","0.31250","0.18004","2.0681 ***","12.4882 ***","30247.8415 ***","-3.0679","5.6799","65906.2218 ***","64717.9185 ***","6717.8108 ***","6776"
"Cotton 4","0.69480","0.68685","1.59470","0.32250","0.15416","1.2883 ***","7.4675 ***","7509.5349 ***","-3.0159","6.3692","65908.3083 ***","65073.6104 ***","6717.1895 ***","6776"
"Lumber 1","307.74029","303.50000","651.00000","138.10000"," 71.25561","0.675 ***","4.2807 ***","978.1564 ***","-4.2215 ***","4.3169","64116.6214 ***","63833.6128 ***","6702.4995 ***","6780"
"Lumber 2","311.50448","309.65000","624.60000","150.30000"," 63.47944","0.6697 ***","4.6497 ***","1275.7045 ***","-4.0405 ***","4.4864","64412.0181 ***","64261.5165 ***","6717.8636 ***","6780"
"Orange juice 2","1.18093","1.13250","2.25850","0.56800","0.33384","0.5452 ***","2.6509 ***","370.0718 ***","-3.1562","20.5654","65861.6345 ***","65506.7740 ***","6726.9483 ***","6776"
"Orange juice 3","1.19133","1.15400","2.20200","0.58500","0.32001","0.4879 ***","2.5626 ***","322.8372 ***","-3.0653","20.9268","65980.4815 ***","65717.3005 ***","6730.1025 ***","6776"
"Orange juice 4","1.20284","1.16900","2.15200","0.61100","0.30932","0.4398 ***","2.4969 ***","289.8633 ***","-3.0194","21.4942","66029.6304 ***","65786.9275 ***","6730.1779 ***","6776"
"Orange juice 5","1.21392","1.18950","2.12750","0.63250","0.29924","0.3875 ***","2.4163 ***","265.7367 ***","-2.9959","22.1123","66037.8876 ***","65795.4768 ***","6729.3691 ***","6776"
