"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"KC.OI","0.11436","0.10727","0.35665","0.01817","0.07317","0.8488 ***","3.3190","175.0426 ***","-0.3303","15.0132","13361.6330 ***","12753.8878 ***","1385.4663 ***","1408"
"KC.SI"," 0.05182"," 0.05674"," 0.40102","-0.29943"," 0.15386","0.0051","1.8860 ***","72.8094 ***","-5.6484 ***","0.7607","7281.4721 ***","5072.0016 ***","1163.5607 ***","1408"
"KC.SIR","0.27360","0.27755","0.52528","0.06282","0.09007","-0.0981","2.5982 ***","11.7329 ***","-4.8355 ***","6.3065","7889.4484 ***","7950.2367 ***","1270.7079 ***","1408"
"KC.SP"," 0.16149"," 0.14393"," 0.93328","-0.63452"," 0.37466","0.0897","1.7673 ***","91.0334 ***","-6.0794 ***","0.9630","6793.4308 ***","6145.5560 ***","1179.2071 ***","1408"
"SB.OI","0.48728","0.48761","1.08840","0.08140","0.31023","0.1265","1.3934 ***","155.1853 ***","-0.8080","16.0974","13566.4265 ***","13065.7049 ***","1389.1395 ***","1408"
"SB.SI"," 0.09312"," 0.10791"," 0.42994","-0.26572"," 0.14142","-0.2016 ***","2.3408 ***","35.0341 ***","-5.5534 ***","0.4150","8026.5707 ***","7012.1000 ***","1271.9870 ***","1408"
"SB.SIR","0.24273","0.26384","0.48888","0.02405","0.09667","-0.4002 ***","2.3970 ***","58.9243 ***","-4.5359 ***","6.3545","9673.7437 ***","9416.3351 ***","1319.0822 ***","1408"
"SB.SP"," 0.28893"," 0.35432"," 1.00000","-0.76833"," 0.42549","-0.4094 ***","2.1759 ***","79.1753 ***","-5.5881 ***","0.5826","7284.7409 ***","6629.6847 ***","1207.3258 ***","1408"
"CC.OI","0.14409","0.12479","0.33187","0.06051","0.06369","0.7985 ***","2.5885 ***","159.5505 ***","-0.4849","15.1073","13023.0443 ***","12599.6241 ***","1383.1533 ***","1408"
"CC.SI"," 0.08476"," 0.08419"," 0.40884","-0.36130"," 0.15021","-0.0039","2.2289 ***","34.8824 ***","-3.9180 ***","2.4986","10285.1285 ***","8946.7757 ***","1308.8198 ***","1408"
"CC.SIR","0.26851","0.26588","0.59271","0.01582","0.13390","0.2299 ***","2.2183 ***","48.2481 ***","-2.5307","9.0105","11986.1041 ***","11705.8381 ***","1364.1258 ***","1408"
"CC.SP"," 0.18036"," 0.21249"," 0.90025","-0.88946"," 0.38001","-0.4067 ***","2.4387 ***","57.3108 ***","-4.4016 ***","1.4570","8972.1642 ***","5108.0114 ***","1186.4860 ***","1408"
"CT.OI","0.13593","0.12649","0.32055","0.03004","0.07127","0.3506 ***","1.8314 ***","108.9606 ***","-1.7030","14.3405","13240.8983 ***","12753.2425 ***","1380.5527 ***","1408"
"CT.SI"," 0.05688"," 0.08192"," 0.46338","-0.46802"," 0.21355","-0.3216 ***","2.2768 ***","54.9547 ***","-4.7950 ***","4.3007","8771.8216 ***","6413.0143 ***","1250.4728 ***","1408"
"CT.SIR","0.27903","0.28799","0.58114","0.01124","0.14020","-0.0385","2.0536 ***","52.8918 ***","-3.4061","11.2166","10664.4458 ***","10530.4056 ***","1345.2513 ***","1408"
"CT.SP"," 0.11929"," 0.21681"," 0.93606","-0.93953"," 0.46725","-0.4291 ***","2.1090 ***","89.7818 ***","-5.2096 ***","3.4614","7765.4824 ***","5243.4090 ***","1192.5196 ***","1408"
"OJ.OI","0.02444","0.02498","0.04892","0.00779","0.00750","0.0533","2.4732 ***","16.9494 ***","-2.8345","5.2006","11758.5309 ***","11098.8059 ***","1337.6735 ***","1408"
"OJ.SI"," 0.12040"," 0.13582"," 0.54586","-0.39479"," 0.22377","-0.3795 ***","2.2921 ***","63.1991 ***","-4.3216 ***","1.3762","9343.7104 ***","7275.6127 ***","1261.7982 ***","1408"
"OJ.SIR","0.32417","0.32846","0.63223","0.06014","0.14208","0.1154","1.8427 ***","81.7048 ***","-3.8818 ***","3.7435","9754.8883 ***","9557.2926 ***","1315.1382 ***","1408"
"OJ.SP"," 0.23899"," 0.33194"," 0.94386","-0.73654"," 0.42414","-0.4903 ***","2.1062 ***","103.2784 ***","-4.8947 ***","0.9173","8420.1638 ***","5410.6288 ***","1183.8525 ***","1408"
"LB.OI","0.00523","0.00432","0.01543","0.00061","0.00283","1.1025 ***","3.7606 ***","319.1743 ***","-2.5071","5.5939","12438.5455 ***","12246.8309 ***","1364.7462 ***","1408"
"LB.SI"," 0.04076"," 0.03461"," 0.49837","-0.34730"," 0.17834","0.0574","2.3028 ***","29.2931 ***","-5.7289 ***","0.1393 ***","7142.6865 ***","3786.3835 ***","1095.0052 ***","1408"
"LB.SIR","0.34051","0.35595","0.69301","0.01517","0.13682","-0.1799 ***","2.3710 ***","30.8012 ***","-4.3495 ***","7.0146","9407.6593 ***","8876.9275 ***","1293.1630 ***","1408"
"LB.SP"," 0.08033"," 0.06705"," 0.89600","-0.90244"," 0.32795","0.0236","2.5814 ***","10.4093 ***","-6.0501 ***","0.1836 ***","6372.8748 ***","4085.6495 ***","1045.2507 ***","1408"
