"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"TV Coffee 1"," 6782.57608"," 4916.47500","47414.00000","    1.80000"," 7653.91956","1.5463 ***","5.8579 ***","1040.2508 ***","-5.3684 ***","9.8568","1875.2664 ***","1783.5875 ***","861.5677 ***","1408"
"TV Coffee 2"," 8838.14469"," 7120.90000","46294.00000","  316.00000"," 6993.42622","1.7361 ***","7.0892 ***","1688.3480 ***","-3.4045","11.5277","3643.2813 ***","2596.2611 ***","904.8550 ***","1408"
"TV Coffee 3"," 2224.64931"," 1416.87500","15975.60000","   29.75000"," 2334.35674","2.2808 ***","9.3355 ***","3575.5505 ***","-1.8951","11.0652","7021.3883 ***","4262.6550 ***","890.0189 ***","1408"
"TV Coffee 4"," 956.62442"," 471.45000","9198.40000","  13.40000","1231.14973","2.5933 ***","11.0613 ***","5390.6020 ***","-2.2916","9.9608","7768.9863 ***","4442.7795 ***","921.1962 ***","1408"
"TV Sugar 1"," 32319.08318"," 25891.50000","178736.25000","  4479.00000"," 22880.23739","0.9628 ***","3.9035 ***","265.4246 ***","-3.3811","13.7026","6379.9373 ***","3153.9432 ***","730.4331 ***","1408"
"TV Sugar 3"," 7680.41080"," 5122.90000","39553.20000","  147.20000"," 7089.67621","1.1303 ***","3.6107 ***","321.6726 ***","-3.9277 ***","13.4643","7030.0604 ***","3754.9606 ***","882.6974 ***","1408"
"TV Sugar 4"," 3465.81799"," 2291.30000","18206.00000","   16.00000"," 3286.26808","1.3778 ***","4.7252 ***","620.0867 ***","-4.5184 ***","12.9300","5922.4469 ***","2616.7499 ***","767.3532 ***","1408"
"TV Cocoa 1"," 5555.64451"," 3910.85000","31111.00000","    0.00000"," 6419.08905","1.4921 ***","4.8412 ***","721.3193 ***","-4.9050 ***","10.7574","2030.4942 ***","2245.7618 ***","857.1147 ***","1408"
"TV Cocoa 2"," 7560.24332"," 5571.05000","37148.60000","  242.66667"," 6316.10572","1.6288 ***","5.9560 ***","1135.1964 ***","-2.8784","12.5273","5286.8235 ***","3545.1129 ***","912.6172 ***","1408"
"TV Cocoa 3"," 2109.81291"," 1123.00000","15860.60000","   29.00000"," 2446.22842","2.2415 ***","8.4666 ***","2932.2493 ***","-1.7656","10.8014","8290.1162 ***","5001.1578 ***","917.2317 ***","1408"
"TV Cocoa 4"," 886.89057"," 455.20000","9081.80000","   1.00000","1129.37567","2.7209 ***","12.8015 ***","7373.3722 ***","-2.5121","9.9110","7242.3614 ***","3603.9924 ***","805.6000 ***","1408"
"TV Cotton 1"," 5836.15762"," 3834.82500","40216.00000","    0.00000"," 6644.01583","1.3135 ***","4.4200 ***","523.1645 ***","-7.4141 ***","4.5284","1566.1602 ***","1143.6139 ***","597.6322 ***","1408"
"TV Cotton 2"," 6937.19614"," 5622.00000","33108.00000","    1.60000"," 5912.13094","1.1054 ***","3.9882 ***","344.0071 ***","-7.8038 ***","7.7161","1822.2374 ***","1357.2221 ***","713.0188 ***","1408"
"TV Cotton 3"," 3005.72540"," 1520.40000","52971.20000","    1.00000"," 4647.49421","4.3507 ***","32.1715 ***","54365.9352 ***","-9.6870 ***","2.3398","2068.7914 ***","1283.7626 ***","881.0334 ***","1408"
"TV Cotton 4","  967.01384","  426.60000","10820.20000","    0.00000"," 1408.26970","2.8722 ***","13.7086 ***","8663.3830 ***","-9.7697 ***","1.7560","2183.9513 ***","1096.9921 ***","552.7865 ***","1408"
"TV Orange juice 2","1139.99168","1013.00000","5463.20000","  30.00000"," 751.52616","1.1499 ***","5.0765 ***","563.2684 ***","-4.5570 ***","4.7395","2013.2093 ***","1097.3757 ***","488.8082 ***","1408"
"TV Orange juice 3"," 194.51121"," 143.80000","1491.40000","   1.80000"," 174.55296","1.963 ***","9.0990 ***","3086.5157 ***","-5.2552 ***","5.5241","1533.9446 ***","668.1424 ***","311.6199 ***","1408"
"TV Orange juice 4"," 66.22829"," 45.30000","646.00000","  0.20000"," 69.60449","2.7606 ***","15.4476 ***","10878.3386 ***","-7.5115 ***","4.3543","1013.6389 ***","300.3476 ***","157.0312 ***","1408"
"TV Orange juice 5"," 27.78925"," 13.40000","417.00000","  0.00000"," 41.84946","3.7643 ***","22.6911 ***","26072.3952 ***","-8.0143 ***","3.0210","1093.2665 ***","314.2375 ***","167.5732 ***","1408"
"TV Lumber 1"," 489.85949"," 453.30000","2311.00000","  46.00000"," 249.82390","1.5457 ***","8.5163 ***","2345.8717 ***","-4.0750 ***","1.5611","1870.5577 ***","1253.4459 ***","711.7078 ***","1408"
"TV Lumber 2"," 385.23904"," 336.52500","1824.80000","  31.60000"," 229.89225","1.19 ***","5.3547 ***","657.6245 ***","-3.7065 ***","2.0626","1736.5936 ***","1375.4248 ***","616.9844 ***","1408"
